event,user_id,timestamp,time_taken_in_ms,wpm,numBksp
key_press,1,2021-05-17 20:21:24.578374,90,0,7
word,1,2021-05-17 20:21:24.580375,518,0,7
key_press,1,2021-05-17 20:21:24.682700,102,0,7
key_press,1,2021-05-17 20:21:24.765708,81,0,7
key_press,1,2021-05-17 20:21:24.926762,159,0,7
key_press,1,2021-05-17 20:21:25.044380,116,0,7
key_press,1,2021-05-17 20:21:25.236032,190,0,7
key_press,1,2021-05-17 20:21:25.323475,85,0,7
key_press,1,2021-05-17 20:21:25.403471,78,0,7
key_press,1,2021-05-17 20:21:25.518388,113,0,7
word,1,2021-05-17 20:21:25.520389,938,0,7
key_press,1,2021-05-17 20:21:25.690398,170,0,7
key_press,1,2021-05-17 20:21:25.852347,160,0,7
key_press,1,2021-05-17 20:21:26.458695,604,0,8
key_press,1,2021-05-17 20:21:26.460696,0,0,8
key_press,1,2021-05-17 20:21:26.650692,188,0,9
key_press,1,2021-05-17 20:21:26.652693,0,0,9
word,1,2021-05-17 20:21:26.654694,1132,0,9
key_press,1,2021-05-17 20:21:26.775380,121,0,9
key_press,1,2021-05-17 20:21:27.103396,326,0,9
key_press,1,2021-05-17 20:21:27.216670,111,0,9
word,1,2021-05-17 20:21:27.218680,562,0,9
key_press,1,2021-05-17 20:21:27.360470,142,0,9
key_press,1,2021-05-17 20:21:27.486644,124,0,9
key_press,1,2021-05-17 20:21:27.598468,110,0,9
key_press,1,2021-05-17 20:21:27.677230,77,0,9
word,1,2021-05-17 20:21:27.679231,459,0,9
key_press,1,2021-05-17 20:21:27.900689,221,0,9
key_press,1,2021-05-17 20:21:28.336814,434,0,10
key_press,1,2021-05-17 20:21:28.338815,0,0,10
word,1,2021-05-17 20:21:28.340816,659,0,10
key_press,1,2021-05-17 20:21:28.744683,404,0,10
key_press,1,2021-05-17 20:21:28.923467,177,0,10
key_press,1,2021-05-17 20:21:28.992473,67,0,10
key_press,1,2021-05-17 20:21:29.174684,180,0,10
key_press,1,2021-05-17 20:21:29.407280,231,0,10
key_press,1,2021-05-17 20:21:29.539683,130,0,10
key_press,1,2021-05-17 20:21:29.607698,66,0,10
word,1,2021-05-17 20:21:29.609699,1267,0,10
key_press,1,2021-05-17 20:21:29.859701,250,0,10
key_press,1,2021-05-17 20:21:30.151338,290,0,10
key_press,1,2021-05-17 20:21:30.326376,173,0,10
key_press,1,2021-05-17 20:21:30.408394,80,0,10
key_press,1,2021-05-17 20:21:30.552376,142,0,10
word,1,2021-05-17 20:21:30.554376,943,0,10
key_press,1,2021-05-17 20:21:30.661478,107,0,10
key_press,1,2021-05-17 20:21:30.757382,94,0,10
key_press,1,2021-05-17 20:21:30.944381,185,0,10
key_press,1,2021-05-17 20:21:31.332351,386,0,10
key_press,1,2021-05-17 20:21:31.471670,136,0,10
key_press,1,2021-05-17 20:21:31.671248,198,0,10
key_press,1,2021-05-17 20:21:31.724260,51,0,10
key_press,1,2021-05-17 20:21:31.864293,138,0,10
key_press,1,2021-05-17 20:21:32.013673,147,0,10
word,1,2021-05-17 20:21:32.015674,1459,0,10
key_press,1,2021-05-17 20:21:32.148682,133,0,10
key_press,1,2021-05-17 20:21:32.236386,86,0,10
key_press,1,2021-05-17 20:21:32.414674,176,0,10
key_press,1,2021-05-17 20:21:32.546710,130,0,10
key_press,1,2021-05-17 20:21:32.795391,247,0,10
key_press,1,2021-05-17 20:21:33.243720,446,0,10
key_press,1,2021-05-17 20:21:33.364677,119,0,10
key_press,1,2021-05-17 20:21:33.658657,292,0,10
key_press,1,2021-05-17 20:21:33.754454,94,0,10
word,1,2021-05-17 20:21:33.756375,1739,0,10
key_press,1,2021-05-17 20:21:33.833685,77,0,10
key_press,1,2021-05-17 20:21:33.958214,123,0,10
key_press,1,2021-05-17 20:21:34.127467,167,0,10
word,1,2021-05-17 20:21:34.129468,371,0,10
key_press,1,2021-05-17 20:21:34.208281,79,0,10
key_press,1,2021-05-17 20:21:34.321468,111,0,10
key_press,1,2021-05-17 20:21:34.437456,114,0,10
key_press,1,2021-05-17 20:21:34.510355,71,0,10
word,1,2021-05-17 20:21:34.512356,381,0,10
key_press,1,2021-05-17 20:21:34.622385,110,0,10
key_press,1,2021-05-17 20:21:34.739376,115,0,10
key_press,1,2021-05-17 20:21:34.819005,78,0,10
key_press,1,2021-05-17 20:21:34.981355,160,0,10
key_press,1,2021-05-17 20:21:35.156573,173,0,10
key_press,1,2021-05-17 20:21:35.258469,100,0,10
key_press,1,2021-05-17 20:21:35.349468,89,0,10
word,1,2021-05-17 20:21:35.351469,837,0,10
key_press,1,2021-05-17 20:21:35.500475,149,0,10
key_press,1,2021-05-17 20:21:35.802519,300,0,10
key_press,1,2021-05-17 20:21:35.970376,166,0,10
